type of mail,date_created,type of action,email domain,email company,design type
confirm,2025-01-01,click,hotmail,QuickMail,type 2
confirm,2025-01-01,click,hotmail,QuickMail,type 2
confirm,2025-01-01,click,hotmail,QuickMail,type 2
confirm,2025-01-01,click,hotmail,QuickMail,type 2
confirm,2025-01-01,click,hotmail,QuickMail,type 2
confirm,2025-01-01,click,hotmail,QuickMail,type 2
confirm,2025-01-01,click,hotmail,QuickMail,type 2
confirm,2025-01-01,click,hotmail,QuickMail,type 2
confirm,2025-01-01,click,hotmail,QuickMail,type 2
confirm,2025-01-01,click,hotmail,QuickMail,type 2
confirm,2025-01-01,open,hotmail,QuickMail,type 2
confirm,2025-01-01,open,hotmail,QuickMail,type 2
confirm,2025-01-01,open,hotmail,QuickMail,type 2
confirm,2025-01-01,open,hotmail,QuickMail,type 2
confirm,2025-01-01,open,hotmail,QuickMail,type 2
confirm,2025-01-01,open,hotmail,QuickMail,type 2
confirm,2025-01-01,open,hotmail,QuickMail,type 2
confirm,2025-01-01,open,hotmail,QuickMail,type 2
confirm,2025-01-01,open,hotmail,QuickMail,type 2
confirm,2025-01-01,open,hotmail,QuickMail,type 2
confirm,2025-01-01,open,hotmail,QuickMail,type 2
confirm,2025-01-01,open,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,receive,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
