id_user,platform,device_os,date_log,date_reg,email company
63342,mobile,iOS,2025-01-02,2025-01-01,EveryMail
166700,mobile,iOS,2025-01-02,2025-01-01,EveryMail
210133,desktop,Windows,2025-01-02,2025-01-01,EveryMail
239221,mobile,iOS,2025-01-02,2025-01-01,EveryMail
290570,tablet,Android,2025-01-02,2025-01-01,EveryMail
313564,mobile,iOS,2025-01-02,2025-01-01,EveryMail
361209,mobile,iOS,2025-01-02,2025-01-01,EveryMail
366043,mobile,Android,2025-01-02,2025-01-01,EveryMail
477834,desktop,UNK,2025-01-02,2025-01-01,EveryMail
488796,desktop,Windows,2025-01-02,2025-01-01,EveryMail
516706,tablet,Android,2025-01-02,2025-01-01,EveryMail
674816,mobile,iOS,2025-01-02,2025-01-01,EveryMail
909913,desktop,Windows,2025-01-02,2025-01-01,EveryMail
911311,mobile,Android,2025-01-02,2025-01-01,EveryMail
959729,mobile,Android,2025-01-02,2025-01-01,EveryMail
1042556,desktop,Mac,2025-01-02,2025-01-01,EveryMail
1047767,mobile,Android,2025-01-02,2025-01-01,EveryMail
1128007,mobile,Android,2025-01-02,2025-01-01,EveryMail
1164009,mobile,iOS,2025-01-02,2025-01-01,EveryMail
1216005,desktop,Mac,2025-01-02,2025-01-01,EveryMail
1291109,desktop,Mac,2025-01-02,2025-01-01,EveryMail
1346025,tablet,Android,2025-01-02,2025-01-01,EveryMail
1351028,mobile,Android,2025-01-02,2025-01-01,EveryMail
1376616,mobile,iOS,2025-01-02,2025-01-01,EveryMail
1391778,mobile,iOS,2025-01-02,2025-01-01,EveryMail
1446794,tablet,iOS,2025-01-02,2025-01-01,EveryMail
1538706,mobile,Android,2025-01-02,2025-01-01,EveryMail
1650521,mobile,Android,2025-01-02,2025-01-01,EveryMail
1653885,desktop,Mac,2025-01-02,2025-01-01,EveryMail
1670487,desktop,Windows,2025-01-02,2025-01-01,EveryMail
1678052,desktop,Windows,2025-01-02,2025-01-01,EveryMail
1798568,mobile,Android,2025-01-02,2025-01-01,EveryMail
1800162,desktop,Windows,2025-01-02,2025-01-01,EveryMail
1839389,mobile,Android,2025-01-02,2025-01-01,EveryMail
1840823,mobile,iOS,2025-01-02,2025-01-01,EveryMail
1921622,mobile,iOS,2025-01-02,2025-01-01,EveryMail
1986354,mobile,iOS,2025-01-02,2025-01-01,EveryMail
2032809,desktop,Mac,2025-01-02,2025-01-01,EveryMail
2080898,desktop,Windows,2025-01-02,2025-01-01,EveryMail
2205969,mobile,Android,2025-01-02,2025-01-01,EveryMail
2290481,mobile,Android,2025-01-02,2025-01-01,EveryMail
2335991,desktop,Windows,2025-01-02,2025-01-01,EveryMail
2358620,mobile,Android,2025-01-02,2025-01-01,EveryMail
2364314,desktop,Mac,2025-01-02,2025-01-01,EveryMail
2393961,mobile,iOS,2025-01-02,2025-01-01,EveryMail
2399339,tablet,Android,2025-01-02,2025-01-01,EveryMail
2435822,desktop,Windows,2025-01-02,2025-01-01,EveryMail
2485739,desktop,Windows,2025-01-02,2025-01-01,EveryMail
2488158,desktop,Windows,2025-01-02,2025-01-01,EveryMail
2503133,desktop,Mac,2025-01-02,2025-01-01,EveryMail
2509727,mobile,iOS,2025-01-02,2025-01-01,EveryMail
2513208,mobile,iOS,2025-01-02,2025-01-01,EveryMail
2528762,tablet,iOS,2025-01-02,2025-01-01,EveryMail
2560823,mobile,iOS,2025-01-02,2025-01-01,EveryMail
2589506,mobile,iOS,2025-01-02,2025-01-01,EveryMail
2638509,desktop,Mac,2025-01-02,2025-01-01,EveryMail
2693732,desktop,Mac,2025-01-02,2025-01-01,EveryMail
2899482,mobile,iOS,2025-01-02,2025-01-01,EveryMail
2908209,mobile,Android,2025-01-02,2025-01-01,EveryMail
2923004,mobile,iOS,2025-01-02,2025-01-01,EveryMail
3035381,desktop,Mac,2025-01-02,2025-01-01,EveryMail
3300501,mobile,iOS,2025-01-02,2025-01-01,EveryMail
3334794,mobile,Android,2025-01-02,2025-01-01,EveryMail
3381816,desktop,Windows,2025-01-02,2025-01-01,EveryMail
3417751,desktop,GNU/Linux,2025-01-02,2025-01-01,EveryMail
3488147,mobile,Android,2025-01-02,2025-01-01,EveryMail
3495128,desktop,Mac,2025-01-02,2025-01-01,EveryMail
3520193,mobile,Android,2025-01-02,2025-01-01,EveryMail
3555371,desktop,UNK,2025-01-02,2025-01-01,EveryMail
3555424,desktop,Windows,2025-01-02,2025-01-01,EveryMail
3580175,desktop,Windows,2025-01-02,2025-01-01,EveryMail
3607024,mobile,iOS,2025-01-02,2025-01-01,EveryMail
3636880,mobile,Android,2025-01-02,2025-01-01,EveryMail
3687902,desktop,Windows,2025-01-02,2025-01-01,EveryMail
3711095,mobile,iOS,2025-01-02,2025-01-01,EveryMail
3716924,mobile,Android,2025-01-02,2025-01-01,EveryMail
3720127,desktop,Windows,2025-01-02,2025-01-01,EveryMail
3789401,mobile,iOS,2025-01-02,2025-01-01,EveryMail
3831188,desktop,Windows,2025-01-02,2025-01-01,EveryMail
3904573,mobile,iOS,2025-01-02,2025-01-01,EveryMail
3996716,desktop,Windows,2025-01-02,2025-01-01,EveryMail
4212722,mobile,Android,2025-01-02,2025-01-01,EveryMail
4267190,mobile,iOS,2025-01-02,2025-01-01,EveryMail
4358084,desktop,Windows,2025-01-02,2025-01-01,EveryMail
4404259,mobile,Android,2025-01-02,2025-01-01,EveryMail
4404588,desktop,Windows,2025-01-02,2025-01-01,EveryMail
4410034,mobile,Android,2025-01-02,2025-01-01,EveryMail
4414862,desktop,Mac,2025-01-02,2025-01-01,EveryMail
4506268,mobile,iOS,2025-01-02,2025-01-01,EveryMail
4531317,desktop,Windows,2025-01-02,2025-01-01,EveryMail
4541570,desktop,Windows,2025-01-02,2025-01-01,EveryMail
4569174,desktop,Mac,2025-01-02,2025-01-01,EveryMail
4572630,mobile,iOS,2025-01-02,2025-01-01,EveryMail
4640619,mobile,Android,2025-01-02,2025-01-01,EveryMail
4687538,mobile,iOS,2025-01-02,2025-01-01,EveryMail
4746984,mobile,Android,2025-01-02,2025-01-01,EveryMail
4749283,desktop,Mac,2025-01-02,2025-01-01,EveryMail
4846884,mobile,iOS,2025-01-02,2025-01-01,EveryMail
4854033,mobile,iOS,2025-01-02,2025-01-01,EveryMail
4869760,mobile,Android,2025-01-02,2025-01-01,EveryMail
4875687,mobile,iOS,2025-01-02,2025-01-01,EveryMail
4890428,mobile,iOS,2025-01-02,2025-01-01,EveryMail
4907166,mobile,iOS,2025-01-02,2025-01-01,EveryMail
4926815,mobile,iOS,2025-01-02,2025-01-01,EveryMail
4962085,mobile,iOS,2025-01-02,2025-01-01,EveryMail
5035301,mobile,iOS,2025-01-02,2025-01-01,EveryMail
5035373,mobile,Android,2025-01-02,2025-01-01,EveryMail
5041268,mobile,Android,2025-01-02,2025-01-01,EveryMail
5084193,mobile,iOS,2025-01-02,2025-01-01,EveryMail
5145699,mobile,iOS,2025-01-02,2025-01-01,EveryMail
5243724,mobile,Android,2025-01-02,2025-01-01,EveryMail
5246235,desktop,Windows,2025-01-02,2025-01-01,EveryMail
5293406,mobile,iOS,2025-01-02,2025-01-01,EveryMail
5297883,mobile,Android,2025-01-02,2025-01-01,EveryMail
5307447,desktop,Windows,2025-01-02,2025-01-01,EveryMail
5308400,mobile,Android,2025-01-02,2025-01-01,EveryMail
5316607,mobile,iOS,2025-01-02,2025-01-01,EveryMail
5372729,mobile,iOS,2025-01-02,2025-01-01,EveryMail
5429640,mobile,iOS,2025-01-02,2025-01-01,EveryMail
5435448,desktop,UNK,2025-01-02,2025-01-01,EveryMail
5442358,mobile,GNU/Linux,2025-01-02,2025-01-01,EveryMail
5483650,mobile,Android,2025-01-02,2025-01-01,EveryMail
5535119,mobile,iOS,2025-01-02,2025-01-01,EveryMail
5543595,mobile,iOS,2025-01-02,2025-01-01,EveryMail
5548552,mobile,Android,2025-01-02,2025-01-01,EveryMail
5551018,desktop,UNK,2025-01-02,2025-01-01,EveryMail
5572101,mobile,iOS,2025-01-02,2025-01-01,EveryMail
